Age,Gender,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Marital_Status_Married,Marital_Status_Single,Department_HR,Department_IT,Department_Marketing,Department_Sales,Job_Role_Assistant,Job_Role_Executive,Job_Role_Manager,Salary_Experience_Ratio,Workload_Score,Overall_Satisfaction_Index,Career_Stagnation_Ratio,Is_Overworked,High_Absenteeism,Age_Group_Millennial,Age_Group_Gen_X,Age_Group_Boomer
58,1,5,7332,81,24,12,3,1,3,2,74,0,9,48,16,4,1,1,49,3,0,False,True,False,False,False,False,False,False,True,293.28,432,2.25,0.48,1,1,False,False,True
48,0,4,6069,55,18,7,5,1,2,2,24,1,9,57,10,4,1,1,25,1,0,False,False,True,False,False,False,True,False,False,319.42105263157896,513,2.0,0.3684210526315789,1,1,False,False,True
34,0,4,11485,65,6,4,3,4,5,1,63,1,3,55,1,1,4,3,21,1,1,True,False,False,False,True,False,False,False,True,1640.7142857142858,165,3.25,0.5714285714285714,1,0,True,False,False
27,0,4,18707,28,12,9,1,1,1,2,4,0,9,53,2,3,4,1,46,2,0,False,False,True,False,False,False,False,False,True,1439.0,477,2.25,0.6923076923076923,1,0,True,False,False
40,1,1,16398,92,3,9,1,3,4,3,62,0,1,54,11,1,1,1,43,4,0,True,False,True,False,False,False,False,False,False,4099.5,54,1.75,2.25,1,1,False,True,False
58,1,3,7305,63,25,2,3,4,5,3,84,0,1,42,11,2,3,4,4,3,1,True,False,False,False,False,False,False,True,False,280.96153846153845,42,3.5,0.07692307692307693,0,1,False,False,True
38,1,5,15697,63,3,3,4,4,3,4,98,0,1,58,16,3,3,4,33,1,1,True,False,False,False,False,True,False,True,False,3924.25,58,3.25,0.75,1,1,False,True,False
42,0,1,14506,41,16,8,0,2,4,3,75,1,3,45,9,2,1,4,3,2,0,True,False,False,False,True,False,False,True,False,853.2941176470588,135,2.75,0.47058823529411764,0,1,False,True,False
30,0,4,18105,95,17,10,2,2,3,3,51,1,8,42,4,3,3,1,39,4,0,True,False,False,True,False,False,False,False,False,1005.8333333333334,336,2.5,0.5555555555555556,0,0,True,False,False
30,1,4,15745,53,16,14,4,1,4,3,45,1,6,41,12,4,2,1,1,4,0,False,False,False,False,False,True,True,False,False,926.1764705882352,246,2.75,0.8235294117647058,0,1,True,False,False
43,1,3,5601,87,13,3,7,1,4,3,76,1,7,58,9,1,4,3,34,4,0,False,False,False,True,False,False,False,False,True,400.07142857142856,406,3.0,0.21428571428571427,1,1,False,True,False
55,0,4,13023,50,25,4,3,2,1,3,66,1,6,43,7,3,1,4,10,2,1,False,True,False,False,False,False,False,False,False,500.88461538461536,258,2.25,0.15384615384615385,0,1,False,False,True
59,0,5,17216,24,13,11,5,3,1,2,75,1,1,38,7,1,2,3,47,1,0,True,False,False,False,True,False,True,False,False,1229.7142857142858,38,1.75,0.7857142857142857,0,1,False,False,True
43,0,2,19911,18,24,3,3,2,3,4,46,0,5,56,7,4,2,3,7,1,0,False,True,False,False,False,False,False,False,False,796.44,280,3.0,0.12,1,1,False,True,False
22,0,4,4411,99,12,12,4,2,2,2,33,0,7,36,13,4,1,1,22,3,1,False,False,False,True,False,False,False,False,False,339.3076923076923,252,2.0,0.9230769230769231,0,1,False,False,False
41,1,3,19773,16,29,13,6,4,4,4,19,1,8,49,7,1,4,1,5,3,0,False,True,True,False,False,False,True,False,False,659.1,392,2.5,0.43333333333333335,1,1,False,True,False
21,0,2,12417,93,2,14,7,2,1,4,38,1,5,41,5,1,4,3,16,2,0,False,False,False,False,False,False,False,True,False,4139.0,205,2.25,4.666666666666667,0,0,False,False,False
43,0,5,6792,42,26,2,9,4,2,4,51,0,8,54,5,4,2,4,41,4,0,True,False,False,False,True,False,False,False,True,251.55555555555554,432,3.0,0.07407407407407407,1,0,False,True,False
49,1,5,12569,40,14,1,9,4,3,2,49,0,5,31,8,3,4,3,29,1,0,False,True,False,False,False,False,False,True,False,837.9333333333333,155,3.25,0.06666666666666667,0,1,False,False,True
57,1,5,3234,87,10,3,7,1,5,2,67,1,1,51,2,3,2,3,5,3,0,False,True,False,False,False,True,False,False,False,294.0,51,3.25,0.2727272727272727,1,0,False,False,True
21,0,3,19497,44,19,9,6,4,1,2,40,0,5,55,19,1,3,2,30,3,0,False,True,False,False,False,False,True,False,False,974.85,275,1.75,0.45,1,1,False,False,False
40,1,2,18317,23,23,14,3,2,4,3,42,0,1,40,18,1,3,2,34,1,0,False,True,False,True,False,False,False,False,False,763.2083333333334,40,2.5,0.5833333333333334,0,1,False,True,False
52,0,5,6138,15,22,8,3,2,1,1,48,0,4,46,7,4,1,4,27,1,1,True,False,False,False,False,False,False,True,False,266.8695652173913,184,2.5,0.34782608695652173,1,1,False,False,True
31,0,4,8159,70,24,9,1,2,4,4,70,0,8,32,6,2,3,1,10,1,0,False,False,False,False,True,False,False,True,False,326.36,256,2.5,0.36,0,1,True,False,False
41,1,2,19794,70,26,10,8,2,1,1,46,0,6,52,12,2,4,4,48,4,0,False,False,False,False,False,False,False,True,False,733.1111111111111,312,2.75,0.37037037037037035,1,1,False,True,False
44,1,5,8684,90,29,5,5,4,3,4,56,0,2,37,10,2,4,1,10,1,0,True,False,False,False,False,False,False,False,True,289.46666666666664,74,2.5,0.16666666666666666,0,1,False,True,False
46,0,2,12252,75,5,5,2,4,3,2,66,1,3,36,14,4,1,2,23,1,0,False,False,False,False,True,False,False,True,False,2042.0,108,2.5,0.8333333333333334,0,1,False,False,True
47,1,4,3066,59,16,14,2,3,3,4,45,1,1,45,18,4,2,1,6,3,0,False,True,False,False,False,False,False,False,True,180.35294117647058,45,2.5,0.8235294117647058,0,1,False,False,True
35,0,1,9546,27,5,8,0,3,3,1,40,0,6,55,2,4,3,4,27,2,0,True,False,False,False,True,False,False,False,True,1591.0,330,3.5,1.3333333333333333,1,0,False,True,False
34,0,5,16985,28,2,14,1,1,3,1,76,0,6,42,9,2,2,3,14,3,0,False,False,False,True,False,False,False,True,False,5661.666666666667,252,2.5,4.666666666666667,0,1,True,False,False
22,0,4,11187,24,6,13,4,2,4,4,28,1,3,57,12,1,4,2,48,2,1,True,False,False,False,True,False,True,False,False,1598.142857142857,171,2.75,1.8571428571428572,1,1,False,False,False
56,1,3,15169,31,28,5,8,1,4,4,40,0,1,34,4,1,3,4,23,3,1,True,False,False,True,False,False,False,False,False,523.0689655172414,34,3.0,0.1724137931034483,0,0,False,False,True
26,0,5,16363,31,12,4,2,4,5,3,84,0,2,55,13,4,2,3,34,2,1,False,False,False,True,False,False,False,False,False,1258.6923076923076,110,3.5,0.3076923076923077,1,1,True,False,False
40,0,1,13665,45,27,9,6,4,3,3,45,0,1,56,4,1,4,1,17,3,0,False,False,False,False,True,False,False,False,True,488.0357142857143,56,2.25,0.32142857142857145,1,0,False,True,False
28,0,4,7304,60,13,1,5,2,2,1,24,0,3,31,5,1,4,2,34,1,0,True,False,False,False,False,False,False,False,True,521.7142857142857,93,2.25,0.07142857142857142,0,0,True,False,False
58,1,4,5010,63,13,6,2,1,4,3,2,0,3,50,11,4,2,2,31,1,0,True,False,False,False,False,True,False,False,True,357.85714285714283,150,3.0,0.42857142857142855,1,1,False,False,True
